Take Medicine For sleep,Trouble Staying Asleep,Trouble Falling asleep,Wake up Well rested,Sleep Hours
Never,Every Day,Never,Never,5
Most Days,Most Days,Never,Never,7
Never,Every Day,Never,Never,6
Never,Most Days,Most Days,Never,6
Never,Never,Never,Some Days,6
Never,Never,Some Days,Most Days,8
Never,Never,Some Days,Most Days,7
Never,Most Days,Most Days,Some Days,8
Every Day,Never,Some Days,Most Days,8
Never,Some Days,Never,Most Days,7
Never,Every Day,Never,Never,10
Never,Never,Never,Some Days,6
Never,Some Days,Some Days,Some Days,7
Every Day,Never,Some Days,Some Days,8
Some Days,Most Days,Every Day,Never,6
Never,Never,Some Days,Every Day,6
Never,Some Days,Some Days,Most Days,6
Never,Never,Never,Most Days,8
Never,Some Days,Never,Never,5
Never,Never,Never,Most Days,8
Never,Never,Never,Never,5
Never,Some Days,Never,Every Day,8
Never,Some Days,Some Days,Never,5
Every Day,Some Days,Some Days,Some Days,5
Never,Never,Some Days,Some Days,7
Never,Some Days,Most Days,Some Days,8
Never,Some Days,Some Days,Some Days,8
Never,Some Days,Never,Some Days,7
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Some Days,6
Never,Some Days,Some Days,Some Days,7
Never,Some Days,Some Days,Never,7
Never,Some Days,Some Days,Some Days,7
Never,Never,Never,Most Days,8
Never,Never,Some Days,Most Days,8
Never,Never,Never,Never,6
Never,Some Days,Some Days,Some Days,8
Never,Never,Never,Some Days,5
Never,Never,Every Day,Most Days,8
Never,Never,Most Days,Most Days,8
Never,Some Days,Some Days,Every Day,8
Never,Never,Some Days,Most Days,7
Some Days,Some Days,Every Day,Some Days,6
Never,Never,Never,Some Days,6
Never,Never,Never,Every Day,7
Some Days,Some Days,Never,Some Days,7
Every Day,Never,Never,Most Days,9
Never,Some Days,Some Days,Every Day,8
Never,Never,Some Days,Every Day,8
Never,Never,Never,Every Day,8
Never,Never,Never,Some Days,10
Never,Every Day,Some Days,Every Day,7
Every Day,Most Days,Most Days,Some Days,10
Never,Most Days,Some Days,Never,6
Never,Every Day,Every Day,Never,4
Never,Some Days,Never,Most Days,7
Every Day,Some Days,Every Day,Most Days,5
Never,Every Day,Never,Most Days,7
Never,Never,Never,Some Days,5
Never,Never,Never,Every Day,6
Never,Never,Never,Some Days,8
Never,Never,Never,Most Days,8
Never,Never,Never,Most Days,8
Never,Never,Some Days,Some Days,5
Never,Never,Some Days,Some Days,7
Never,Some Days,Some Days,Some Days,8
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,6
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Some Days,7
Never,Some Days,Never,Some Days,8
Never,Never,Never,Most Days,7
Never,Some Days,Never,Most Days,7
Never,Never,Some Days,Most Days,7
Some Days,Never,Some Days,Never,9
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Most Days,8
Never,Never,Never,Never,6
Never,Never,Some Days,Most Days,6
Never,Never,Never,Some Days,12
Never,Never,Some Days,Most Days,8
Never,Never,Never,Some Days,7
Every Day,Some Days,Some Days,Some Days,7
Some Days,Some Days,Never,Some Days,8
Every Day,Most Days,Most Days,Some Days,6
Most Days,Never,Never,Most Days,9
Never,Never,Never,Every Day,7
Some Days,Most Days,Most Days,Some Days,5
Never,Never,Some Days,Most Days,6
Never,Never,Never,Every Day,7
Never,Most Days,Some Days,Never,5
Every Day,Every Day,Every Day,Every Day,3
Never,Never,Never,Every Day,7
Never,Never,Never,Every Day,8
Never,Never,Never,Every Day,10
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,7
Never,Most Days,Some Days,Most Days,8
Never,Never,Never,Every Day,7
Never,Never,Never,Never,6
Never,Some Days,Some Days,Some Days,8
Never,Never,Never,Most Days,9
Never,Some Days,Never,Most Days,8
Never,Some Days,Never,Most Days,7
Never,Never,Never,Every Day,6
Every Day,Never,Some Days,Most Days,8
Never,Never,Some Days,Some Days,6
Never,Never,Never,Most Days,6
Some Days,Some Days,Some Days,Some Days,6
Never,Some Days,Never,Most Days,7
Never,Most Days,Some Days,Some Days,7
Never,Most Days,Some Days,Most Days,5
Never,Never,Never,Most Days,8
Never,Never,Never,Every Day,8
Never,Some Days,Some Days,Most Days,7
Never,Most Days,Most Days,Never,6
Some Days,Never,Some Days,Most Days,6
Never,Some Days,Never,Most Days,7
Never,Some Days,Some Days,Never,8
Never,Some Days,Most Days,Some Days,7
Never,Some Days,Some Days,Most Days,7
Some Days,Never,Some Days,Some Days,7
Never,Never,Never,Some Days,8
Never,Every Day,Every Day,Never,4
Never,Never,Never,Most Days,8
Never,Some Days,Never,Some Days,6
Never,Some Days,Never,Some Days,8
Some Days,Never,Some Days,Some Days,8
Never,Most Days,Most Days,Never,5
Never,Every Day,Most Days,Never,5
Most Days,Every Day,Every Day,Most Days,5
Never,Most Days,Never,Most Days,8
Never,Some Days,Some Days,Some Days,8
Never,Never,Some Days,Most Days,7
Never,Most Days,Some Days,Most Days,7
Never,Never,Never,Every Day,8
Never,Some Days,Some Days,Most Days,7
Never,Never,Never,Most Days,8
Every Day,Never,Never,Some Days,8
Some Days,Some Days,Never,Some Days,9
Never,Never,Never,Never,6
Never,Never,Some Days,Some Days,9
Never,Most Days,Most Days,Some Days,5
Never,Never,Never,Most Days,7
Never,Never,Never,Never,7
Never,Never,Never,Most Days,8
Never,Some Days,Most Days,Some Days,5
Every Day,Some Days,Never,Some Days,6
Never,Never,Never,Never,6
Some Days,Some Days,Never,Some Days,7
Some Days,Most Days,Most Days,Some Days,6
Never,Most Days,Never,Most Days,8
Some Days,Some Days,Some Days,Some Days,5
Every Day,Some Days,Never,Most Days,6
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Some Days,6
Some Days,Some Days,Some Days,Some Days,8
Never,Some Days,Some Days,Some Days,6
Every Day,Some Days,Some Days,Most Days,8
Never,Some Days,Never,Most Days,6
Never,Some Days,Some Days,Most Days,8
Never,Never,Never,Some Days,7
Every Day,Every Day,Every Day,Never,16
Never,Every Day,Every Day,Some Days,7
Never,Never,Never,Most Days,7
Never,Some Days,Some Days,Some Days,5
Never,Some Days,Never,Most Days,7
Never,Never,Never,Every Day,7
Most Days,Some Days,Every Day,Some Days,5
Never,Never,Never,Every Day,9
Never,Some Days,Never,Most Days,6
Never,Never,Never,Most Days,5
Never,Some Days,Most Days,Some Days,6
Never,Some Days,Some Days,Some Days,8
Never,Never,Some Days,Most Days,7
Never,Most Days,Most Days,Some Days,3
Never,Some Days,Some Days,Some Days,7
Never,Some Days,Some Days,Most Days,8
Never,Some Days,Some Days,Most Days,5
Never,Never,Never,Most Days,7
Some Days,Most Days,Never,Most Days,6
Never,Never,Never,Most Days,6
Every Day,Some Days,Some Days,Most Days,6
Never,Never,Never,Most Days,7
Never,Some Days,Never,Most Days,8
Never,Some Days,Never,Some Days,6
Never,Some Days,Most Days,Some Days,7
Some Days,Some Days,Some Days,Most Days,7
Never,Never,Never,Most Days,7
Some Days,Never,Some Days,Most Days,7
Never,Never,Some Days,Most Days,6
Never,Some Days,Never,Some Days,6
Never,Never,Never,Most Days,7
Never,Never,Some Days,Some Days,6
Some Days,Some Days,Never,Some Days,6
Never,Never,Never,Most Days,6
Never,Every Day,Some Days,Some Days,5
Some Days,Every Day,Some Days,Some Days,5
Every Day,Never,Never,Most Days,8
Every Day,Every Day,Every Day,Never,9
Most Days,Some Days,Some Days,Most Days,6
Never,Some Days,Some Days,Most Days,8
Some Days,Some Days,Never,Most Days,7
Never,Some Days,Never,Most Days,7
Every Day,Never,Never,Some Days,8
Never,Never,Never,Some Days,8
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,7
Some Days,Never,Some Days,Some Days,6
Never,Some Days,Some Days,Most Days,7
Never,Some Days,Some Days,Most Days,8
Never,Every Day,Never,Some Days,4
Most Days,Most Days,Some Days,Some Days,4
Never,Never,Never,Every Day,7
Never,Never,Never,Most Days,8
Never,Never,Never,Every Day,8
Never,Most Days,Some Days,Most Days,7
Never,Never,Never,Some Days,5
Never,Some Days,Some Days,Most Days,7
Never,Never,Never,Most Days,6
Never,Never,Never,Every Day,7
Never,Some Days,Never,Most Days,7
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Most Days,6
Some Days,Some Days,Some Days,Most Days,7
Every Day,Never,Every Day,Most Days,7
Every Day,Every Day,Every Day,Some Days,5
Never,Never,Never,Every Day,7
Never,Never,Never,Most Days,8
Never,Never,Never,Most Days,7
Never,Never,Some Days,Most Days,6
Never,Most Days,Some Days,Some Days,7
Most Days,Never,Every Day,Some Days,7
Never,Never,Never,Some Days,7
Never,Some Days,Never,Some Days,7
Never,Every Day,Some Days,Some Days,6
Never,Every Day,Every Day,Most Days,6
Never,Most Days,Some Days,Some Days,5
Never,Never,Never,Every Day,8
Never,Some Days,Never,Some Days,8
Never,Never,Never,Some Days,7
Never,Never,Never,Every Day,9
Some Days,Never,Never,Some Days,6
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,8
Some Days,Some Days,Some Days,Never,8
Never,Some Days,Never,Never,6
Never,Never,Never,Some Days,9
Never,Never,Every Day,Every Day,6
Never,Some Days,Never,Some Days,8
Some Days,Most Days,Most Days,Most Days,6
Never,Never,Some Days,Most Days,8
Never,Some Days,Some Days,Never,6
Never,Some Days,Some Days,Some Days,7
Never,Never,Never,Most Days,8
Every Day,Never,Never,Most Days,7
Most Days,Some Days,Most Days,Some Days,5
Some Days,Never,Some Days,Most Days,8
Never,Never,Some Days,Most Days,7
Never,Never,Never,Most Days,16
Never,Never,Some Days,Some Days,8
Never,Never,Never,Every Day,9
Never,Some Days,Some Days,Every Day,6
Never,Every Day,Some Days,Some Days,8
Every Day,Some Days,Never,Most Days,8
Never,Never,Never,Every Day,7
Every Day,Some Days,Some Days,Some Days,7
Never,Never,Never,Every Day,7
Never,Never,Never,Some Days,6
Never,Some Days,Some Days,Most Days,7
Never,Never,Never,Every Day,7
Some Days,Some Days,Some Days,Every Day,10
Never,Never,Never,Every Day,7
Never,Never,Never,Every Day,7
Never,Never,Never,Most Days,7
Never,Never,Never,Every Day,7
Some Days,Some Days,Some Days,Most Days,9
Some Days,Some Days,Some Days,Some Days,6
Every Day,Some Days,Never,Never,7
Some Days,Most Days,Some Days,Never,6
Never,Most Days,Some Days,Most Days,8
Never,Never,Never,Every Day,7
Never,Some Days,Some Days,Most Days,8
Never,Some Days,Never,Most Days,8
Never,Never,Never,Every Day,9
Never,Some Days,Never,Some Days,8
Every Day,Every Day,Never,Never,4
Never,Some Days,Most Days,Some Days,7
Never,Some Days,Some Days,Some Days,8
Never,Some Days,Some Days,Some Days,7
Never,Never,Never,Every Day,8
Never,Some Days,Some Days,Most Days,9
Never,Every Day,Some Days,Never,5
Never,Never,Most Days,Some Days,6
Never,Never,Never,Most Days,16
Never,Some Days,Most Days,Some Days,6
Never,Never,Never,Most Days,7
Every Day,Every Day,Every Day,Never,6
Never,Never,Never,Some Days,6
Never,Some Days,Never,Some Days,7
Some Days,Some Days,Some Days,Most Days,8
Never,Never,Some Days,Some Days,6
Never,Some Days,Never,Some Days,8
Never,Never,Never,Most Days,7
Never,Never,Never,Every Day,9
Never,Most Days,Some Days,Some Days,7
Never,Never,Never,Most Days,7
Most Days,Every Day,Every Day,Most Days,4
Never,Some Days,Never,Some Days,8
Some Days,Never,Most Days,Most Days,8
Never,Never,Some Days,Most Days,6
Never,Never,Never,Most Days,8
Every Day,Never,Never,Every Day,7
Some Days,Some Days,Some Days,Some Days,6
Some Days,Some Days,Never,Most Days,8
Every Day,Some Days,Some Days,Some Days,6
Some Days,Some Days,Some Days,Some Days,8
Never,Some Days,Some Days,Never,8
Every Day,Some Days,Every Day,Some Days,4
Never,Some Days,Some Days,Some Days,7
Some Days,Never,Never,Some Days,7
Never,Never,Never,Every Day,8
Never,Never,Never,Every Day,8
Never,Never,Some Days,Every Day,7
Some Days,Some Days,Some Days,Some Days,7
Never,Never,Never,Most Days,7
Never,Never,Never,Every Day,7
Never,Never,Never,Every Day,4
Never,Some Days,Some Days,Most Days,8
Most Days,Most Days,Most Days,Some Days,6
Some Days,Most Days,Every Day,Never,4
Every Day,Every Day,Most Days,Some Days,5
Never,Never,Never,Most Days,6
Never,Never,Never,Most Days,9
Most Days,Some Days,Some Days,Most Days,6
Never,Never,Some Days,Some Days,7
Never,Some Days,Some Days,Most Days,6
Never,Most Days,Some Days,Some Days,6
Never,Every Day,Every Day,Never,5
Every Day,Every Day,Every Day,Never,5
Never,Never,Never,Some Days,7
Never,Some Days,Some Days,Most Days,8
Never,Never,Some Days,Most Days,9
Never,Never,Some Days,Most Days,8
Never,Never,Never,Most Days,8
Some Days,Never,Some Days,Some Days,6
Never,Never,Some Days,Most Days,7
Never,Some Days,Never,Some Days,7
Never,Never,Most Days,Most Days,7
Never,Never,Never,Every Day,10
Never,Never,Never,Most Days,8
Never,Never,Never,Every Day,8
Never,Never,Never,Every Day,8
Never,Most Days,Most Days,Some Days,6
Never,Most Days,Some Days,Some Days,6
Never,Every Day,Every Day,Every Day,10
Never,Never,Never,Some Days,10
Some Days,Some Days,Every Day,Never,7
Never,Some Days,Never,Some Days,6
Never,Never,Never,Never,5
Most Days,Never,Every Day,Every Day,6
Never,Most Days,Some Days,Some Days,6
Never,Never,Never,Most Days,8
Never,Some Days,Never,Most Days,8
Never,Never,Never,Most Days,8
Never,Every Day,Never,Most Days,7
Never,Never,Never,Some Days,7
Never,Never,Never,Some Days,7
Never,Most Days,Every Day,Some Days,9
Never,Never,Never,Some Days,8
Every Day,Some Days,Some Days,Some Days,8
Never,Never,Never,Every Day,7
Never,Never,Never,Some Days,6
Never,Some Days,Some Days,Some Days,6
Never,Never,Never,Some Days,4
Never,Never,Never,Most Days,8
Never,Every Day,Some Days,Some Days,5
Never,Never,Never,Every Day,5
Never,Some Days,Some Days,Most Days,7
Never,Some Days,Some Days,Most Days,7
Never,Never,Never,Every Day,8
Some Days,Never,Never,Some Days,6
Never,Never,Never,Most Days,6
Never,Never,Some Days,Some Days,6
Never,Never,Never,Every Day,7
Never,Never,Never,Most Days,8
Never,Never,Never,Every Day,9
Never,Some Days,Some Days,Some Days,6
Never,Some Days,Some Days,Most Days,8
Never,Most Days,Most Days,Most Days,7
Never,Some Days,Some Days,Most Days,8
Never,Some Days,Some Days,Most Days,8
Never,Never,Never,Some Days,8
Never,Never,Never,Some Days,6
Some Days,Most Days,Most Days,Some Days,7
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Some Days,6
Never,Some Days,Some Days,Most Days,9
Never,Never,Some Days,Most Days,7
Never,Never,Some Days,Most Days,7
Some Days,Most Days,Some Days,Some Days,9
Never,Never,Never,Every Day,7
Some Days,Some Days,Never,Most Days,8
Never,Every Day,Every Day,Never,6
Some Days,Some Days,Some Days,Some Days,5
Never,Every Day,Most Days,Some Days,6
Never,Some Days,Some Days,Some Days,9
Never,Some Days,Never,Some Days,6
Never,Never,Never,Every Day,6
Never,Never,Never,Every Day,10
Never,Never,Never,Most Days,6
Never,Never,Never,Most Days,8
Never,Some Days,Never,Most Days,8
Never,Some Days,Some Days,Most Days,7
Never,Some Days,Never,Most Days,7
Never,Never,Most Days,Some Days,6
Never,Some Days,Never,Some Days,7
Never,Some Days,Some Days,Most Days,8
Never,Never,Some Days,Some Days,6
Never,Never,Never,Every Day,8
Never,Never,Never,Some Days,8
Some Days,Never,Never,Most Days,8
Every Day,Never,Never,Every Day,7
Never,Some Days,Never,Some Days,7
Never,Never,Never,Some Days,8
Some Days,Never,Most Days,Most Days,8
Never,Never,Some Days,Some Days,6
Never,Never,Some Days,Most Days,8
Never,Some Days,Some Days,Some Days,7
Never,Never,Never,Most Days,8
Never,Some Days,Never,Some Days,7
Never,Never,Never,Every Day,9
Never,Never,Never,Most Days,8
Some Days,Most Days,Most Days,Every Day,8
Never,Never,Never,Some Days,8
Never,Every Day,Never,Never,7
Never,Never,Never,Most Days,9
Never,Never,Never,Every Day,8
Never,Never,Some Days,Some Days,7
Some Days,Some Days,Most Days,Some Days,6
Never,Some Days,Never,Most Days,8
Never,Never,Never,Every Day,8
Never,Never,Never,Never,7
Never,Never,Never,Every Day,7
Never,Never,Never,Most Days,5
Never,Some Days,Some Days,Most Days,8
Never,Never,Some Days,Most Days,9
Never,Never,Some Days,Some Days,6
Never,Some Days,Never,Some Days,6
Some Days,Most Days,Most Days,Most Days,6
Never,Some Days,Never,Most Days,8
Never,Some Days,Some Days,Some Days,6
Most Days,Most Days,Never,Most Days,7
Never,Some Days,Never,Some Days,7
Never,Never,Some Days,Most Days,7
Never,Some Days,Some Days,Some Days,6
Never,Every Day,Never,Some Days,4
Never,Never,Some Days,Every Day,7
Never,Some Days,Some Days,Some Days,6
Never,Every Day,Some Days,Never,7
Never,Every Day,Every Day,Never,8
Never,Every Day,Never,Most Days,8
Never,Never,Never,Some Days,5
Never,Never,Never,Most Days,8
Every Day,Never,Never,Some Days,8
Never,Never,Never,Never,8
Never,Never,Some Days,Most Days,6
Never,Never,Never,Most Days,6
Every Day,Most Days,Some Days,Never,6
Never,Never,Most Days,Every Day,8
Never,Some Days,Some Days,Some Days,7
Every Day,Most Days,Every Day,Some Days,6
Never,Some Days,Never,Every Day,7
Never,Never,Never,Never,10
Never,Never,Never,Most Days,7
Never,Never,Never,Never,6
Never,Some Days,Some Days,Some Days,8
Never,Never,Some Days,Most Days,7
Never,Never,Never,Some Days,8
Some Days,Some Days,Some Days,Some Days,8
Never,Never,Never,Most Days,8
Never,Some Days,Some Days,Most Days,7
Every Day,Most Days,Never,Most Days,7
Never,Some Days,Never,Most Days,8
Every Day,Never,Never,Most Days,7
Never,Never,Some Days,Most Days,7
Never,Some Days,Never,Most Days,8
Never,Never,Never,Every Day,8
Some Days,Every Day,Never,Some Days,5
Never,Never,Never,Most Days,8
Never,Most Days,Never,Most Days,7
Never,Never,Some Days,Most Days,7
Some Days,Never,Some Days,Some Days,7
Never,Some Days,Never,Most Days,7
Never,Some Days,Never,Every Day,8
Some Days,Never,Some Days,Most Days,7
Never,Never,Some Days,Most Days,7
Never,Never,Never,Most Days,8
Never,Every Day,Never,Most Days,12
Never,Some Days,Some Days,Some Days,8
Never,Never,Never,Most Days,8
Never,Most Days,Some Days,Some Days,7
Never,Never,Never,Every Day,8
Never,Never,Some Days,Some Days,7
Never,Never,Never,Some Days,9
Never,Never,Never,Most Days,7
Every Day,Every Day,Every Day,Never,5
Every Day,Never,Never,Some Days,7
Never,Never,Some Days,Some Days,8
Never,Some Days,Most Days,Some Days,6
Never,Never,Some Days,Most Days,6
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,7
Never,Never,Never,Most Days,7
Never,Some Days,Some Days,Some Days,4
Never,Never,Some Days,Most Days,7
Never,Never,Some Days,Some Days,4
Never,Never,Never,Every Day,7
Never,Some Days,Some Days,Some Days,6
Never,Some Days,Some Days,Some Days,8
Most Days,Most Days,Every Day,Some Days,7
Never,Never,Some Days,Some Days,7
Never,Never,Most Days,Every Day,7
Never,Most Days,Most Days,Some Days,7
Never,Some Days,Some Days,Some Days,5
Never,Never,Never,Every Day,6
Never,Never,Never,Most Days,8
Every Day,Some Days,Never,Every Day,8
Some Days,Some Days,Some Days,Most Days,6
Some Days,Some Days,Some Days,Most Days,8
Never,Some Days,Some Days,Most Days,8
Every Day,Most Days,Every Day,Never,5
Most Days,Most Days,Some Days,Most Days,7
Never,Never,Never,Every Day,8
Never,Some Days,Some Days,Some Days,7
Never,Most Days,Some Days,Most Days,7
Never,Never,Never,Never,5
Some Days,Some Days,Some Days,Some Days,7
Never,Some Days,Some Days,Some Days,6
Never,Some Days,Some Days,Some Days,6
